Regions,Transcription Factors,Properties
seq1397_[chr7:12368757-12368927],LMX1A_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_3
seq1397_[chr7:12368757-12368927],NFKB2_Fimo_hg19_2,Induction/activity_at_TP_24h
seq1397_[chr7:12368757-12368927],TCF12_Fimo_ENCODE_7,Induction/activity_at_TP_48h
seq1397_[chr7:12368757-12368927],HOMEZ_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_1
seq1397_[chr7:12368757-12368927],,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_3
seq867_[chr2:70995246-70995416],MYC_Fimo_ENCODE_9,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_2
seq867_[chr2:70995246-70995416],USF2_Fimo_hg19_2,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_3
seq867_[chr2:70995246-70995416],MEIS2_Fimo_ENCODE_2,Induction/activity_at_TP_6h
seq867_[chr2:70995246-70995416],SNAI3_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_2
seq867_[chr2:70995246-70995416],ZIC2_Fimo_ENCODE_2,Induction/activity_at_TP_0h
seq867_[chr2:70995246-70995416],ZIC2_Fimo_ENCODE_1,Induction/activity_at_TP_12h
seq867_[chr2:70995246-70995416],PKNOX2_Fimo_hg19_5,Induction/activity_at_TP_3h
seq867_[chr2:70995246-70995416],HIF1A_Fimo_ENCODE_1,
seq867_[chr2:70995246-70995416],HIF1A_Fimo_ENCODE_2,
seq867_[chr2:70995246-70995416],TCF12_Fimo_ENCODE_5,
seq1311_[chr6:15895241-15895411],MYC_Fimo_ENCODE_9,Induction/activity_at_TP_72h
seq1311_[chr6:15895241-15895411],NFE2L2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_1
