Properties,Transcription Factors,Regions
Induction/activity_at_TP_0h,FOXB1_Fimo_ENCODE_4,controls_seq8_[chr10:102245394-102245564]
Induction/activity_at_TP_0h,POU3F1_Fimo_ENCODE_2,seq374_[chr12:49380487-49380657]
Induction/activity_at_TP_0h,SOX21_Fimo_ENCODE_3,seq1175_[chr4:125380900-125381070]
Induction/activity_at_TP_0h,HOMEZ_Fimo_hg19_1,seq680_[chr17:42633937-42634107]
Induction/activity_at_TP_0h,OTX2_Fimo_ENCODE_1,seq793_[chr19:18365973-18366143]
Induction/activity_at_TP_0h,ZIC3_Fimo_ENCODE_3,seq2272_[chr2:211627649-211627819]
Induction/activity_at_TP_0h,ELF1_Fimo_hg19_7,seq2053_[chr9:108438869-108439039]
Induction/activity_at_TP_0h,E2F4_Fimo_hg19_3,seq1512_[chr8:93107646-93107816]
Induction/activity_at_TP_0h,E2F4_Fimo_hg19_6,seq1937_[chr3:155432158-155432328]
Induction/activity_at_TP_0h,PKNOX2_Fimo_hg19_5,seq1501_[chr8:50005334-50005504]
Induction/activity_at_TP_0h,GLI1_Fimo_hg19_11,seq1163_[chr4:91119425-91119595]
Induction/activity_at_TP_0h,FOXJ2_Fimo_ENCODE_1,seq904_[chr2:157487561-157487731]
Induction/activity_at_TP_0h,ZNF423_Fimo_ENCODE_2,seq2166_[chr9:126773515-126773685]
Induction/activity_at_TP_0h,USF1_Fimo_hg19_9,controls_seq55_[chr3:147652769-147652939]
Induction/activity_at_TP_0h,RXRA_Fimo_ENCODE_2,seq867_[chr2:70995246-70995416]
Induction/activity_at_TP_0h,ZIC5_Fimo_hg19_1,seq1900_[chr20:46433296-46433466]
Induction/activity_at_TP_0h,GLI1_Fimo_hg19_3,seq154_[chr1:228110602-228110772]
Induction/activity_at_TP_0h,GLI2_Fimo_ENCODE_1,seq1430_[chr7:73693981-73694151]
Induction/activity_at_TP_0h,SOX2_Fimo_ENCODE_1,seq1048_[chr22:46241068-46241238]
Induction/activity_at_TP_0h,SNAI3_Fimo_hg19_1,seq125_[chr1:178235935-178236105]
Induction/activity_at_TP_0h,ZIC2_Fimo_ENCODE_2,seq1570_[chr9:94647461-94647631]
Induction/activity_at_TP_0h,ZIC2_Fimo_ENCODE_1,seq307_[chr11:77184409-77184579]
Induction/activity_at_TP_0h,HIF1A_Fimo_ENCODE_1,seq155_[chr1:228871123-228871293]
Induction/activity_at_TP_0h,HIF1A_Fimo_ENCODE_2,seq1556_[chr9:71487184-71487354]
Induction/activity_at_TP_0h,TCF12_Fimo_ENCODE_5,seq1618_[chrX:130611512-130611682]
Induction/activity_at_TP_0h,TCF12_Fimo_ENCODE_7,seq203_[chr10:77842878-77843048]
Induction/activity_at_TP_0h,,seq1911_[chr22:26790853-26791023]
Induction/activity_at_TP_0h,,controls_seq49_[chr21:34291162-34291332]
Induction/activity_at_TP_0h,,seq1385_[chr7:2539826-2539996]
Induction/activity_at_TP_0h,,controls_seq75_[chr6:23180868-23181038]
Induction/activity_at_TP_0h,,seq1927_[chr3:64624784-64624954]
Induction/activity_at_TP_0h,,seq1886_[chr20:10618280-10618450]
Induction/activity_at_TP_0h,,seq183_[chr10:43312452-43312622]
Induction/activity_at_TP_0h,,seq1240_[chr5:72783756-72783926]
Induction/activity_at_TP_0h,,seq217_[chr10:98105168-98105338]
Induction/activity_at_TP_0h,,seq1060_[chr3:33619186-33619356]
Induction/activity_at_TP_0h,,seq732_[chr18:6752629-6752799]
Induction/activity_at_TP_0h,,seq2229_[chr10:74008393-74008563]
Induction/activity_at_TP_0h,,seq2305_[chr9:117068145-117068315]
Induction/activity_at_TP_0h,,seq1559_[chr9:73035377-73035547]
Induction/activity_at_TP_0h,,seq2234_[chr10:74033439-74033609]
Induction/activity_at_TP_0h,,seq1516_[chr8:104663261-104663431]
Induction/activity_at_TP_0h,,seq1400_[chr7:13875076-13875246]
Induction/activity_at_TP_0h,,seq626_[chr16:52299381-52299551]
Induction/activity_at_TP_0h,,seq1542_[chr9:16768932-16769102]
Induction/activity_at_TP_0h,,seq1429_[chr7:73509281-73509451]
Induction/activity_at_TP_0h,,controls_seq174_[chr6:31126527-31126697]
Induction/activity_at_TP_0h,,seq497_[chr14:68400983-68401153]
Induction/activity_at_TP_0h,,seq792_[chr19:17246400-17246570]
Induction/activity_at_TP_0h,,seq2020_[chr8:13214951-13215121]
Induction/activity_at_TP_0h,,seq350_[chr12:8962852-8963022]
Induction/activity_at_TP_3h,MYC_Fimo_ENCODE_9,controls_seq8_[chr10:102245394-102245564]
Induction/activity_at_TP_3h,JUN_Fimo_hg19_11,seq374_[chr12:49380487-49380657]
Induction/activity_at_TP_3h,NFKB2_Fimo_hg19_2,seq1175_[chr4:125380900-125381070]
Induction/activity_at_TP_3h,SRF_Fimo_hg19_17,seq680_[chr17:42633937-42634107]
Induction/activity_at_TP_3h,MYC_Fimo_ENCODE_5,seq793_[chr19:18365973-18366143]
Induction/activity_at_TP_3h,BHLHE40_Fimo_hg19_2,seq2272_[chr2:211627649-211627819]
Induction/activity_at_TP_3h,SP8_Fimo_ENCODE_1,seq2053_[chr9:108438869-108439039]
Induction/activity_at_TP_3h,ATF3_Fimo_hg19_1,seq1512_[chr8:93107646-93107816]
Induction/activity_at_TP_3h,NFE2L2_Fimo_ENCODE_1,seq1937_[chr3:155432158-155432328]
Induction/activity_at_TP_3h,TFCP2L1_Fimo_ENCODE_1,seq1501_[chr8:50005334-50005504]
Induction/activity_at_TP_3h,MEIS3_Fimo_ENCODE_1,seq1163_[chr4:91119425-91119595]
Induction/activity_at_TP_3h,PRDM4_Fimo_ENCODE_1,seq904_[chr2:157487561-157487731]
Induction/activity_at_TP_3h,,seq2166_[chr9:126773515-126773685]
Induction/activity_at_TP_3h,,controls_seq55_[chr3:147652769-147652939]
Induction/activity_at_TP_3h,,seq867_[chr2:70995246-70995416]
Induction/activity_at_TP_3h,,seq1900_[chr20:46433296-46433466]
Induction/activity_at_TP_3h,,seq154_[chr1:228110602-228110772]
Induction/activity_at_TP_3h,,seq1430_[chr7:73693981-73694151]
Induction/activity_at_TP_3h,,seq1048_[chr22:46241068-46241238]
Induction/activity_at_TP_3h,,seq125_[chr1:178235935-178236105]
Induction/activity_at_TP_3h,,seq1570_[chr9:94647461-94647631]
Induction/activity_at_TP_3h,,seq307_[chr11:77184409-77184579]
Induction/activity_at_TP_3h,,seq155_[chr1:228871123-228871293]
Induction/activity_at_TP_3h,,seq1556_[chr9:71487184-71487354]
Induction/activity_at_TP_3h,,seq1618_[chrX:130611512-130611682]
Induction/activity_at_TP_3h,,seq203_[chr10:77842878-77843048]
Induction/activity_at_TP_3h,,seq1911_[chr22:26790853-26791023]
Induction/activity_at_TP_3h,,controls_seq49_[chr21:34291162-34291332]
Induction/activity_at_TP_3h,,seq1385_[chr7:2539826-2539996]
